acc_x[mg],acc_y[mg],acc_z[mg]
562.42,-183.24,822.65
565.10,-184.95,821.91
570.59,-186.29,826.43
567.91,-184.46,821.55
565.47,-182.88,819.35
565.71,-180.93,820.69
564.13,-180.93,817.28
561.69,-178.24,816.42
562.54,-183.49,817.52
560.22,-184.10,817.64
557.17,-179.71,817.40
555.95,-179.46,820.08
553.88,-182.88,819.60
553.15,-183.49,820.82
561.32,-182.63,826.06
565.47,-187.76,828.26
567.30,-189.83,822.65
571.08,-193.13,816.18
574.25,-197.15,821.55
572.79,-195.93,829.11
569.13,-197.64,823.99
566.81,-199.84,823.74
566.93,-198.74,828.26
570.11,-201.30,829.60
569.37,-198.25,829.84
567.42,-197.64,824.23
569.37,-199.71,818.99
570.23,-201.79,814.23
569.50,-200.81,810.81
570.11,-200.81,810.93
572.42,-200.20,814.96
573.28,-196.30,818.13
572.91,-198.74,818.13
564.74,-197.15,818.62
